company_id,company_name,year,sector,sub_sector,sales,net_profit,return_on_equity_pct,roce_percentage,net_profit_margin_pct,debt_to_equity,interest_coverage,free_cash_flow_cr,capex_cr,dividend_payout_ratio_pct,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,sales_cagr_3yr,sales_cagr_5yr,pat_cagr_5yr,fcf_cagr_5yr,cfo_pat_ratio,composite_score,fcf_yield,operating_profit_margin_pct,asset_turnover,cluster_id,cluster_name,cluster_description
BAJAJ-AUTO,Bajaj Auto Ltd,2024-03,Consumer Discretionary,Two Wheelers,44870,7708,26.61418410330778,33.5,17.178515712057056,0.06601754022512257,174.41666666666666,6486,72,29.0,29.91,9.83,20.14,3.59,17.384652616671946,8.127604751021389,9.358917170384974,23.982350488934777,0.8508043591074209,60.21118505970747,0.992020247858232,19.534209939826162,1.1404534363562424,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
BAJAJFINSV,Bajaj Finserv Ltd,2024-03,Financials,Diversified Financials,110382,15595,25.850351412279537,21.14,14.128209309488865,4.789368120938867,2.197130112323319,-79634,10960,2.0,15.07,6.08,39.72,2.56,22.131490415528443,20.97274568418761,23.74781614270227,0.0,-4.403590894517474,35.72340374316533,-4.180016339930263,37.04045949520755,0.2053943414307379,1,Leveraged / High Debt,Companies with high debt-to-equity ratio and lower operational performance.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,2024-03,Financials,Holding Companies,1702,7365,13.576787656460265,13.1,432.7262044653349,0.0011613545449517945,3764.5,1469,472,20.0,37.73,9.38,27.47,3.37,55.00574158769729,31.612293448969165,19.297559063731295,25.867547044417382,0.26354378818737273,67.65093978518108,0.06702962960133939,91.7743830787309,0.026119918356071883,3,High-Quality Growth Compounder,Premium companies with superior return on equity and strong revenue growth.
BAJFINANCE,Bajaj Finance Ltd,2024-03,Financials,Consumer Finance,54972,14451,18.841921351830603,11.9,26.287928399912687,3.824788776468134,2689.1666666666665,-79931,7171,15.0,69.2,4.11,15.96,0.27,27.259405758095312,24.352642739542006,29.323134825979015,0.0,-5.034945678499758,43.32083125212708,-3.2317922805711454,29.285818234737686,0.14630251608816688,1,Leveraged / High Debt,Companies with high debt-to-equity ratio and lower operational performance.
BANKBARODA,Bank of Baroda,2024-03,Financials,Public Sector Banks,118379,18869,15.761863790899902,6.33,15.93948250956673,12.143718727289434,1.8967477242617206,-7559,1285,21.0,16.89,4.15,24.7,2.62,16.788839489625307,17.477297665890944,74.50588066551305,0.0,-0.3325030473263024,35.6444063232284,-1.279081332956056,37.4889127294537,0.07153782236255685,1,Leveraged / High Debt,Companies with high debt-to-equity ratio and lower operational performance.
BEL,Bharat Electronics Ltd,2024-03,Industrials,Defence Electronics,20268,3985,4744.047619047619,34.6,19.661535425300965,0.5119047619047619,476.75,-1265,5924,40.0,17.89,9.22,23.14,0.76,12.8335418079377,10.7508063318833,16.12648618019128,0.0,1.1691342534504392,62.953702876569565,-0.09337302073000636,24.921057825143084,125.88819875776397,2,Market Averages,"Moderate returns, reasonable growth, and standard leverage profiles."
BHARTIARTL,Bharti Airtel Ltd,2024-03,Communication Services,Telecommunications,149982,8558,10.35839213740181,13.1,5.706018055499993,2.6094723973904306,3.3055457435535147,27809,51089,62.0,63.78,6.28,39.71,1.02,14.232767250604962,13.17410230151459,38.35662769365473,0.0,9.219210095816779,41.441211289531736,7.345106122639473,52.20093077836007,0.3393112060793767,3,High-Quality Growth Compounder,Premium companies with superior return on equity and strong revenue growth.
BHEL,Bharat Heavy Electricals Limited,2024-03,Industrials,Capital Goods,23893,282,1.1539405843358703,3.28,1.180262001423011,0.36238644733611586,1.5929951690821256,-2382,1331,31.0,29.8,11.43,21.59,4.04,11.343850250620191,-4.728642461606237,-22.397399063784775,0.0,-13.166666666666666,11.967812304551886,-0.4410671269170658,2.9757669610346125,0.399628688031043,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
BOSCHLTD,Bosch Ltd,2024-03,Consumer Discretionary,Auto Ancillaries,16727,2490,20.639920424403183,20.6,14.886112273569676,0.003232758620689655,71.7843137254902,1536,283,44.0,58.43,6.47,16.07,4.23,19.843289373663996,6.717165240230294,9.275930793686072,-8.2232541048765,0.5032128514056224,41.97221169971837,0.05908701218425355,12.524660728164047,0.9638144626908672,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
BPCL,Bharat Petroleum Corporation Ltd,2024-03,Energy,Oil & Gas Refining,448083,26859,35.511337343822305,32.1,5.994201967046283,0.7218747934157467,11.355507351168956,25415,10521,33.0,68.15,0.72,26.59,1.15,24.863629368132333,8.483226324685255,25.790698729746552,0.0,1.3379500353698945,55.33438004242353,5.422883218663305,9.837909494446341,2.213651947949293,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
